time,open,high,low,close,tick_volume,spread,real_volume
2026-07-21 17:00:00,4053.13,4056.67,4051.61,4056.38,2595,8,0
2026-07-21 17:05:00,4056.31,4059.4,4054.43,4054.9,2637,11,0
2026-07-21 17:10:00,4054.86,4065.89,4054.86,4065.88,3058,8,0
2026-07-21 17:15:00,4065.78,4067.64,4060.88,4064.01,2752,10,0
2026-07-21 17:20:00,4063.99,4065.11,4061.09,4064.87,2952,8,0
2026-07-21 17:25:00,4064.85,4069.42,4064.01,4069.4,2653,8,0
2026-07-21 17:30:00,4069.38,4073.68,4066.72,4066.77,2961,8,0
2026-07-21 17:35:00,4066.79,4067.29,4062.24,4064.52,2758,9,0
2026-07-21 17:40:00,4064.58,4067.91,4062.75,4067.45,2478,12,0
2026-07-21 17:45:00,4067.45,4070.48,4066.23,4069.53,2570,7,0
2026-07-21 17:50:00,4069.6,4070.69,4066.61,4068.97,2709,8,0
2026-07-21 17:55:00,4069.0,4070.48,4067.25,4068.32,2382,8,0
2026-07-21 18:00:00,4068.32,4070.91,4067.71,4068.26,2576,8,0
2026-07-21 18:05:00,4068.26,4070.3,4065.52,4069.12,2270,8,0
2026-07-21 18:10:00,4069.16,4073.77,4069.08,4073.22,2237,8,0
2026-07-21 18:15:00,4073.22,4078.55,4073.12,4077.06,2296,7,0
2026-07-21 18:20:00,4077.08,4079.09,4075.44,4078.08,2652,7,0
2026-07-21 18:25:00,4078.11,4078.32,4075.67,4076.8,2211,7,0
2026-07-21 18:30:00,4076.8,4082.83,4075.94,4081.1,2652,7,0
2026-07-21 18:35:00,4081.1,4083.41,4078.64,4080.33,2128,12,0
2026-07-21 18:40:00,4080.33,4080.85,4075.39,4075.65,1926,9,0
2026-07-21 18:45:00,4075.84,4075.97,4072.05,4073.05,1496,8,0
2026-07-21 18:50:00,4073.12,4078.11,4073.09,4076.73,1260,8,0
2026-07-21 18:55:00,4076.73,4076.77,4073.66,4074.14,1370,9,0
2026-07-21 19:00:00,4074.01,4077.82,4073.53,4077.82,1534,12,0
2026-07-21 19:05:00,4077.75,4078.05,4076.45,4077.06,1177,11,0
2026-07-21 19:10:00,4077.06,4079.17,4076.38,4078.45,1463,7,0
2026-07-21 19:15:00,4078.43,4078.55,4076.63,4077.35,1295,8,0
2026-07-21 19:20:00,4077.35,4078.16,4076.16,4077.99,1470,7,0
2026-07-21 19:25:00,4077.99,4078.1,4073.91,4075.64,1054,11,0
2026-07-21 19:30:00,4075.66,4076.27,4074.59,4075.62,1042,16,0
2026-07-21 19:35:00,4075.62,4075.93,4070.95,4074.16,1017,11,0
2026-07-21 19:40:00,4074.06,4075.11,4071.41,4072.02,1267,17,0
2026-07-21 19:45:00,4072.02,4072.66,4069.81,4072.35,1596,9,0
2026-07-21 19:50:00,4072.17,4073.27,4071.55,4072.76,920,13,0
2026-07-21 19:55:00,4072.76,4073.1,4070.96,4071.41,882,15,0
2026-07-21 20:00:00,4071.41,4072.23,4069.14,4070.36,1058,11,0
2026-07-21 20:05:00,4070.34,4072.48,4069.8,4071.41,1032,11,0
2026-07-21 20:10:00,4071.41,4072.52,4069.85,4070.39,906,8,0
2026-07-21 20:15:00,4070.47,4070.95,4068.95,4069.04,934,18,0
2026-07-21 20:20:00,4069.02,4071.9,4068.83,4071.32,1229,8,0
2026-07-21 20:25:00,4071.19,4072.75,4070.9,4072.21,1226,9,0
2026-07-21 20:30:00,4072.19,4072.27,4069.6,4070.33,867,13,0
2026-07-21 20:35:00,4070.33,4070.33,4068.9,4069.24,699,15,0
2026-07-21 20:40:00,4069.24,4069.54,4066.7,4068.08,979,8,0
2026-07-21 20:45:00,4068.04,4068.18,4066.73,4067.07,888,8,0
2026-07-21 20:50:00,4067.07,4068.03,4066.76,4067.82,616,22,0
2026-07-21 20:55:00,4067.81,4068.65,4066.79,4068.65,733,17,0
2026-07-21 21:00:00,4068.67,4069.57,4067.74,4067.82,952,12,0
2026-07-21 21:05:00,4067.84,4072.01,4067.63,4071.76,1115,17,0
2026-07-21 21:10:00,4071.76,4072.22,4071.22,4071.48,1023,16,0
2026-07-21 21:15:00,4071.39,4073.83,4071.14,4073.25,1324,12,0
2026-07-21 21:20:00,4073.25,4081.69,4072.39,4081.21,1520,9,0
2026-07-21 21:25:00,4081.11,4087.14,4081.09,4083.72,2040,8,0
2026-07-21 21:30:00,4083.72,4085.61,4081.08,4084.55,1258,14,0
2026-07-21 21:35:00,4084.47,4085.28,4081.4,4082.7,1048,17,0
2026-07-21 21:40:00,4082.6,4083.94,4081.76,4082.22,1041,13,0
2026-07-21 21:45:00,4082.29,4082.53,4080.23,4080.78,914,15,0
2026-07-21 21:50:00,4080.76,4081.43,4079.15,4080.95,892,13,0
2026-07-21 21:55:00,4080.95,4083.34,4080.93,4082.15,850,13,0
2026-07-21 22:00:00,4082.17,4085.27,4082.17,4084.3,1441,8,0
2026-07-21 22:05:00,4084.26,4085.68,4081.29,4081.35,1148,10,0
2026-07-21 22:10:00,4081.29,4081.75,4080.0,4080.82,1201,8,0
2026-07-21 22:15:00,4080.84,4084.06,4080.84,4083.55,1135,10,0
2026-07-21 22:20:00,4083.62,4084.52,4082.37,4083.75,1012,9,0
2026-07-21 22:25:00,4083.77,4085.29,4083.55,4084.02,1168,10,0
2026-07-21 22:30:00,4084.11,4085.08,4083.12,4083.51,1195,15,0
2026-07-21 22:35:00,4083.54,4083.57,4081.9,4082.59,974,8,0
2026-07-21 22:40:00,4082.61,4084.47,4082.41,4083.38,988,10,0
2026-07-21 22:45:00,4083.4,4085.34,4082.83,4084.69,1089,8,0
2026-07-21 22:50:00,4084.7,4085.28,4083.45,4084.15,1364,12,0
2026-07-21 22:55:00,4084.17,4085.29,4083.38,4084.4,1410,7,0
